word,type_word,level,uk_mp3,uk_ogg,us_mp3,us_ogg
absolutely,adverb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absol/absolutely__gb_6.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolutely__us_1_rr.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolutely__us_1_rr.ogg
absorb,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absor/absorb__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absor/absorb__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absor/absorb__us_2_rr.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absor/absorb__us_2_rr.ogg
abstract,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/abstr/abstract__gb_5.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/abstr/abstract__us_2_rr.ogg
absurd,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absur/absurd__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absur/absurd__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absur/absurd__us_1_rr.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absur/absurd__us_1_rr.ogg
abundance,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abund/abundance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abund/abundance__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abund/abundance__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abund/abundance__us_1.ogg
abuse,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abuse/abuse__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_3.ogg
abuse,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abuse/abuse__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_1.ogg
academic,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academic__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academic__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
academic,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academic__gb_2.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academic__us_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
academy,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academy__gb_1.ogg,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academy__us_1.ogg
